'Name of Package','Price','Duration','Rating','Tour Type','Trek Difficulty',
,,,,,,
'Annapurna Explorer',1373,'16days',5,'Group Tour - Max 12 participants  ','Easy',
,,,,,,
'Annapurna Base Camp Trek',675,'12days',4.5,'Private and Group Tour  ','Medium',
,,,,,,
'Langtang Kyanjin Trek',465,'9days',4.8,'Private Tour  ','Medium',
,,,,,,
'Annapurna Circuit Trek',800,'15days',4.6,'Private Tour  ','Hard',
,,,,,,
'Everest Base Camp Trek',975,'15days',4.8,'Private and Group Tour  ','Medium',
,,,,,,
'Everest Three High Passes Trekking',1350,'16days',4.8,'Private and Group Tour  ','Hard',
,,,,,,
'High Road To Lhasa',3039,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trek',636,'12days',4.8,'Private Tour  ','Moderate',
,,,,,,
'Manaslu Circuit Trekking',1100,'14days',5,'Private and Group Tour  ','Hard',
,,,,,,
'Chitwan National Park Safari',180,'3days','nan','Group Tour  ','nan',
,,,,,,
'9 Day Everest Base Camp Trek With Chopper Return',2290,'9days',4.8,'Private and Group Tour  ','Medium',
,,,,,,
' Everest Base Camp Trek',810,'12days',4.9,'Private Tour  ','Hard',
,,,,,,
'Annapurna Base Camp Trek',620,'12days',5,'Private Tour  ','Moderate',
,,,,,,
'Everest Base Camp Trek',905,'11days',4.8,'Private Tour  ','Medium',
,,,,,,
'7-day Ghorepani Poon Hill Trek',366,'7days',5,'Private Tour  ','Easy',
,,,,,,
'Annapurna Circuit Trek ',1000,'13days',4.9,'Private Tour  ','Hard',
,,,,,,
'Everest Base Camp Trek - 16 Days',1225,'16days',5,'Private Tour  ','Hard',
,,,,,,
'Mera Peak Climb',2000,'18days',4.9,'Private Tour  ','nan',
,,,,,,
'Dhampus Sarangkot (Short Annapurna Trek)',175,'3days',4.3,'Private Tour  ','Easy',
,,,,,,
'Everest Base Camp - 3 High Passes Trek',1320,'16days',4.9,'Private and Group Tour  ','Hard',
,,,,,,
