Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Annapurna Explorer ,, 151030 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Easy ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 74250 ,, 12days ,, 4.5  ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Kyanjin Trek ,, 51150 ,, 9days ,, 4.8  ,, Private Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 88000 ,, 15days ,, 4.6  ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 107250 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Three High Passes Trekking ,, 148500 ,, 16days ,, 4.8  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
High Road To Lhasa ,, 334290 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Annapurna Base Camp Trek ,, 69960 ,, 12days ,, 4.8  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit Trekking ,, 121000 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan National Park Safari ,, 19800 ,, 3days ,, nan ,, Group Tour   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
9 Day Everest Base Camp Trek With Chopper Return ,, 251900 ,, 9days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
 Everest Base Camp Trek ,, 89100 ,, 12days ,, 4.9  ,, Private Tour   ,, Hard ,, Himalayan Trekking and Tours (P) Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 68200 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 99550 ,, 11days ,, 4.8  ,, Private Tour   ,, Medium ,, Unique Path Trekking & Expedition (P) LTD. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
7-day Ghorepani Poon Hill Trek ,, 40260 ,, 7days ,, 5.0  ,, Private Tour   ,, Easy ,, Himalayan Leisure Inc. ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek  ,, 110000 ,, 13days ,, 4.9  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek - 16 Days ,, 134750 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Ace the Himalaya ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climb ,, 220000 ,, 18days ,, 4.9  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Dhampus Sarangkot (Short Annapurna Trek) ,, 19250 ,, 3days ,, 4.3  ,, Private Tour   ,, Easy ,, Green Valley Nepal Treks Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, 
