Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Annapurna Explorer ,, 164450 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Easy ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-explorer-tour-2-354760_0.JPG ,, 
Annapurna Base Camp Trek ,, 74250 ,, 12days ,, 4.5  ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-283_1510029029.JPG ,, 
Langtang Kyanjin Trek ,, 51150 ,, 9days ,, 4.8  ,, Private Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-kyanjin-trek-tour-2-427238_1528075425.JPG ,, 
Annapurna Circuit Trek ,, 88000 ,, 15days ,, 4.6  ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-19946_1510029029.JPG ,, 
Everest Base Camp Trek ,, 107250 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-668_1542777628.JPG ,, 
Everest Three High Passes Trekking ,, 148500 ,, 16days ,, 4.8  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-three-high-passes-trekking-tour-2-343_1518529994.JPG ,, 
High Road To Lhasa ,, 334290 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/high-road-to-lhasa-tour-2-429894_1528360114.JPG ,, 
Annapurna Base Camp Trek ,, 69960 ,, 12days ,, 4.8  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-17492_1542701491.JPG ,, 
Manaslu Circuit Trekking ,, 121000 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trekking-tour-2-203984_1510029029.JPG ,, 
Chitwan National Park Safari ,, 19800 ,, 3days ,, nan ,, Group Tour   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-national-park-safari-tour-2-12625_1527050978.JPG ,, 
